filename,treeno,tree,sentence
nw/wsj/03/wsj_0360,17,"(TOP (S (NP-SBJ (PRP I))(VP (VP (VBP understand)(SBAR (-NONE- *RNR*-1)))(, ,)(CC but)(VP (VBP have)(RB n't)(ADVP-TMP (RB yet))(VP (VBN verified)(SBAR (-NONE- *RNR*-1))))(, ,)(SBAR-1 (IN that)(S (NP-SBJ (EX there))(VP (VBP are)(NP-PRD (NP (NP (NNS studies))(PP (IN by)(NP (NP (NNPS Norwegians))(, ,)(NP (NNPS Russians))(CC and)(NP (DT the)(NML (NNP Max)(NNP Planck))(NNP Institute)))))(SBAR (WHNP-173 (WDT that))(S (NP-SBJ (-NONE- *T*-173))(VP (VBP show)(NP (ADJP (CC either)(JJ unchanging)(CC or)(JJ declining))(NN UV)(HYPH -)(NN B))(PP-LOC (IN at)(NP (DT the)(NN surface)))))))))))(. .)))","I understand *RNR*-1 , but have n't yet verified *RNR*-1 , that there are studies by Norwegians , Russians and the Max Planck Institute that *T*-173 show either unchanging or declining UV - B at the surface ."
nw/wsj/03/wsj_0362,1,(TOP (X-HLN (NP (NML (NML (NNP American)(NNP Enterprise)(NNP Institute))(NN scholar))(NNP Norman)(NNP Ornstein))(PP-LOC (IN in)(NP (NP (DT the)(NML (NNP Oct.)(CD 21))(NNP TV)(NNP Guide))(PP (IN on)(`` ``)(SBAR-TTL (WHNP-1 (WP What))(S (NP-SBJ (NN TV)(NN News))(VP (VP (VBZ Does)(RB n't)(VP (VB Report)(NP (-NONE- *T*-1))(PP-CLR (IN About)(NP (NNP Congress)))))(: --)(CC and)(VP (MD Should)(VP (-NONE- *?*))))))('' ''))))(: :))),American Enterprise Institute scholar Norman Ornstein in the Oct. 21 TV Guide on `` What TV News Does n't Report *T*-1 About Congress -- and Should *?* '' :
nw/wsj/03/wsj_0305,38,"(TOP (S (NP-TMP (JJ Last)(NN year))(, ,)(S (NP-SBJ (NP (NNS earnings))(PP (IN of)(NP (DT the)(JJ combined)(NNS companies))))(VP (VBD did)(RB n't)(VP (VB cover)(NP (NN debt)(NN service)))))(CC and)(S (NP-SBJ-1 (NNP Pinkerton)(POS 's))(VP (VBD was)(VP (VBN forced)(NP-2 (-NONE- *-1))(S (NP-SBJ (-NONE- *PRO*-2))(VP (TO to)(VP (VB borrow)(NP (NP (QP ($ $)(CD 20)(CD million))(-NONE- *U*))(PP (IN of)(NP (JJ subordinated)(NN debt))))))))))(. .)))","Last year , earnings of the combined companies did n't cover debt service and Pinkerton 's was forced *-1 *PRO*-2 to borrow $ 20 million *U* of subordinated debt ."
nw/wsj/03/wsj_0305,43,"(TOP (S (NP-SBJ (DT The)(NN suit))(VP (VBZ alleges)(SBAR (IN that)(S (NP-SBJ-1 (NNP American)(NNP Brands))(VP (VP (VBD misrepresented)(NP (NP (DT the)(JJ financial)(NN condition))(PP (IN of)(NP (NNP Pinkerton)(POS 's)))(PP-TMP (IN before)(NP (DT the)(NN sale)))))(, ,)(VP (VBD failed)(S (NP-SBJ (-NONE- *-1))(VP (TO to)(VP (VB disclose)(NP (NP (NP (VBG pending)(NNS lawsuits))(CC and)(NP (JJ material)(NNS contracts)))(SBAR (WHPP-3 (IN in)(WHNP (WDT which)))(S (NP-SBJ (NNP Pinkerton)(POS 's))(VP (VBD was)(PP-PRD (IN in)(NP (NN default)))(PP-LOC (-NONE- *T*-3))))))))))(, ,)(VP (VBD had)(RB n't)(VP (VBN registered)(NP (DT the)(NP (NNP Pinkerton)(POS 's))(NN name)(CC and)(NN trademark))(PP-LOC-CLR (IN in)(NP (DT the)(NNP United)(NNP Kingdom)))))(CC and)(VP (VBD did)(RB n't)(VP (VB tell)(NP (NNP California)(NNP Plant)(NNP Protection))(PP-CLR (IN about)(NP (DT some)(NN labor)(NNS controversies)))))))))(. .)))","The suit alleges that American Brands misrepresented the financial condition of Pinkerton 's before the sale , failed *-1 to disclose pending lawsuits and material contracts in which Pinkerton 's was in default *T*-3 , had n't registered the Pinkerton 's name and trademark in the United Kingdom and did n't tell California Plant Protection about some labor controversies ."
nw/wsj/03/wsj_0359,22,"(TOP (SINV (`` ``)(S (SBAR-ADV (IN If)(S (NP-SBJ (DT the)(NNP Fed))(VP (VBZ does)(RB not)(VP (VP (VBN come)(PP-CLR (IN to)(NP (DT the)(NN rescue))))(CC and)(VP (VB produce)(NP (JJR lower)(NML (JJ short)(HYPH -)(NN term))(NN interest)(NNS rates))(PP-TMP (IN over)(NP (DT the)(JJ next)(CD 30)(NNS days))))))))(, ,)(NP-SBJ-1 (DT the)(NN market))(VP (VBZ 's)(VP (VBG going)(S (NP-SBJ (-NONE- *-1))(VP (TO to)(VP (VB flounder)))))))(, ,)('' '')(VP (VBZ says))(NP-SBJ (NP (NNP Larry)(NNP Wachtel))(, ,)(NP (NP (DT a)(NN market)(NN analyst))(PP (IN with)(NP (NNP Prudential)(HYPH -)(NNP Bache)(NNP Securities)))))(. .)))","`` If the Fed does not come to the rescue and produce lower short - term interest rates over the next 30 days , the market 's going *-1 to flounder , '' says Larry Wachtel , a market analyst with Prudential - Bache Securities ."
nw/wsj/03/wsj_0363,10,"(TOP (S (NP-SBJ (JJ Private)(NNS placements))(VP (VBP involve)(NP (NP (NN debt))(CC and)(NP (NN equity)(NNS securities)))(, ,)(PP-LOC (ADVP (RB typically))(IN in)(NP (NP (NP (NNS denominations))(PP (IN of)(NP (QP ($ $)(CD 1)(CD million))(-NONE- *U*))))(, ,)(SBAR (WHNP-187 (WDT that))(S (NP-SBJ-1 (-NONE- *T*-187))(VP (VP (VBP are)(VP (VBN sold)(NP (-NONE- *-1))(PP-DTV (IN to)(NP (JJ institutional)(NNS investors)))))(CC and)(VP (VBP are)(RB n't)(VP (JJ registered)(NP (-NONE- *-1))(PP-CLR (IN with)(NP (DT the)(NML (NNPS Securities)(CC and)(NNP Exchange))(NNP Commission)))))))))))(. .)))","Private placements involve debt and equity securities , typically in denominations of $ 1 million *U* , that *T*-187 are sold *-1 to institutional investors and are n't registered *-1 with the Securities and Exchange Commission ."
nw/wsj/03/wsj_0304,11,(TOP (S (NP-SBJ (DT A)(NNP Chemical)(NN spokeswoman))(VP (VBD said)(SBAR (SBAR (-NONE- 0)(S (NP-SBJ (DT the)(NML (JJ second)(HYPH -)(NN quarter))(NN charge))(VP (VBD was)(`` ``)(RB not)(ADJP-PRD (JJ material))('' ''))))(CC and)(SBAR (IN that)(S (NP-SBJ-1 (DT no)(NNS personnel)(NNS changes))(VP (VBD were)(VP (VBN made)(NP (-NONE- *-1))(PP-PRP (IN as)(NP (DT a)(NN result)))))))))(. .))),A Chemical spokeswoman said 0 the second - quarter charge was `` not material '' and that no personnel changes were made *-1 as a result .
nw/wsj/03/wsj_0320,2,"(TOP (S (PP-LOC (IN Under)(NP (DT the)(NN plan)))(, ,)(NP-SBJ (NN DeSoto))(VP (VBD said)(SBAR (-NONE- 0)(S (NP-SBJ (PRP it))(VP (MD will)(VP (VB sell)(NP (NP (JJ certain)(NNS assets)(CC and)(NNS businesses))(SBAR (WHNP-50 (WDT that))(S (NP-SBJ (-NONE- *T*-50))(VP (VBP do)(RB n't)(VP (VB meet)(NP (UCP (JJ strategic)(CC and)(NN profitability))(NNS objectives))))))))))))(. .)))","Under the plan , DeSoto said 0 it will sell certain assets and businesses that *T*-50 do n't meet strategic and profitability objectives ."
nw/wsj/03/wsj_0335,18,"(TOP (S (NP-SBJ (NP (NNP Mr.)(NNP Wall)(POS 's))(NNS deputies))(VP (VBD complained)(SBAR (IN that)(S (NP-SBJ-1 (PRP they))(VP (VBD had)(RB n't)(VP (VBN been)(VP (VBN given)(NP (-NONE- *-1))(NP (DT an)(NN opportunity)(S (NP-SBJ (-NONE- *PRO*))(VP (TO to)(VP (VB respond)(PP-CLR (IN to)(NP (NP (DT the)(NN criticism))(VP (VBD brought)(PRT (RP out))(PP-TMP (IN during)(NP (NP (NP (DT the)(NNP Banking)(NNP Committee)(POS 's))(NNS hearings))(, ,)(SBAR (WHNP-2 (WDT which))(S (NP-SBJ-3 (NP (NML (NNP Committee)(NNP Chairman))(NNP Henry)(NNP Gonzalez))(NP (-LRB- -LRB-)(NP (NNP D.))(, ,)(NP-LOC (NNP Texas))(-RRB- -RRB-)))(VP (VBZ has)(VP (VBN used)(NP (-NONE- *T*-2))(PP-CLR (IN as)(NP (DT a)(NN forum)))(S-CLR (NP-SBJ (-NONE- *PRO*-3))(VP (VP (TO to)(VP (VB flay)(NP (NP (NP (NNP Mr.)(NNP Wall)(POS 's))(NN handling))(PP (IN of)(NP (DT the)(NN affair))))))(CC and)(VP (TO to)(VP (VB demand)(SBAR (IN that)(S (NP-SBJ (PRP he))(VP (VB step)(ADVP-DIR (RB aside))(PP-DIR (IN from)(NP (PRP$ his)(NN job)))))))))))))))))))))))))))))(. .)))","Mr. Wall 's deputies complained that they had n't been given *-1 an opportunity *PRO* to respond to the criticism brought out during the Banking Committee 's hearings , which Committee Chairman Henry Gonzalez ( D. , Texas ) has used *T*-2 as a forum *PRO*-3 to flay Mr. Wall 's handling of the affair and to demand that he step aside from his job ."
nw/wsj/03/wsj_0349,10,"(TOP (S (S (NP-SBJ (NNP Mr.)(NNP Phelan))(VP (VBZ has)(RB n't)(VP (VBN been)(VP (VBG making)(NP (JJ public)(NNS remarks))(PP-TMP (IN in)(NP (JJ recent)(NNS days)))))))(, ,)(CC and)(S (NP-SBJ (JJ many)(NNS people))(VP (VBP have)(VP (VBN urged)(NP-1 (PRP him))(S (NP-SBJ (-NONE- *PRO*-1))(VP (TO to)(VP (VB take)(NP (NP (JJR more))(PP (IN of)(NP (NP (DT a)(NN leadership)(NN role))(PP (IN on)(NP (DT the)(NML (NN program)(NN trading))(NN issue))))))))))))(. .)))","Mr. Phelan has n't been making public remarks in recent days , and many people have urged him *PRO*-1 to take more of a leadership role on the program trading issue ."
