filename,treeno,tree,sentence,match,spanString
nw/wsj/03/wsj_0360,8,(TOP (S (NP-SBJ (DT This))(VP (VBZ is)(NP-PRD (NP (DT a)(NN fact))(CC and)(RB not)(NP (NP (DT the)(NN product))(PP (IN of)(NP (NP (DT some)(JJ environmental)(NN doomsayer))(CC or)(NP (NP (DT a)(NN group)(POS 's))(NN ploy)(S (NP-SBJ (-NONE- *PRO*))(VP (TO to)(VP (VB create)(NP (DT a)(NN market)))))))))))(. .))),This is a fact and not the product of some environmental doomsayer or a group 's ploy *PRO* to create a market .,(NP-PRD (NP (DT a) (NN fact)) (CC and) (RB not) (NP (NP (DT the) (NN product)) (PP (IN of) (NP (NP (DT some) (JJ environmental) (NN doomsayer)) (CC or) (NP (NP (DT a) (NN group) (POS 's)) (NN ploy) (S (NP-SBJ (-NONE- *PRO*)) (VP (TO to) (VP (VB create) (NP (DT a) (NN market)))))))))) ,a fact and not the product of some environmental doomsayer or a group 's ploy *PRO* to create a market
nw/wsj/03/wsj_0360,17,"(TOP (S (NP-SBJ (PRP I))(VP (VP (VBP understand)(SBAR (-NONE- *RNR*-1)))(, ,)(CC but)(VP (VBP have)(RB n't)(ADVP-TMP (RB yet))(VP (VBN verified)(SBAR (-NONE- *RNR*-1))))(, ,)(SBAR-1 (IN that)(S (NP-SBJ (EX there))(VP (VBP are)(NP-PRD (NP (NP (NNS studies))(PP (IN by)(NP (NP (NNPS Norwegians))(, ,)(NP (NNPS Russians))(CC and)(NP (DT the)(NML (NNP Max)(NNP Planck))(NNP Institute)))))(SBAR (WHNP-173 (WDT that))(S (NP-SBJ (-NONE- *T*-173))(VP (VBP show)(NP (ADJP (CC either)(JJ unchanging)(CC or)(JJ declining))(NN UV)(HYPH -)(NN B))(PP-LOC (IN at)(NP (DT the)(NN surface)))))))))))(. .)))","I understand *RNR*-1 , but have n't yet verified *RNR*-1 , that there are studies by Norwegians , Russians and the Max Planck Institute that *T*-173 show either unchanging or declining UV - B at the surface .",NA,NA
nw/wsj/03/wsj_0305,23,(TOP (S (NP-SBJ (PRP He))(VP (VBZ says)(SBAR (-NONE- 0)(S (NP-SBJ (PRP$ his)(NN team))(VP (MD could)(RB n't)(VP (VB tell)(SBAR (IN whether)(S (NP-SBJ-1 (NP (NNS accounts))(ADJP (JJ receivable)))(VP (VBD had)(VP (VBN been)(VP (VBN paid)(NP (-NONE- *-1))))))(CC or)(RB not)))))))(. .))),He says 0 his team could n't tell whether accounts receivable had been paid *-1 or not .,(VP (MD could) (RB n't) (VP (VB tell) (SBAR (IN whether) (S (NP-SBJ-1 (NP (NNS accounts)) (ADJP (JJ receivable))) (VP (VBD had) (VP (VBN been) (VP (VBN paid) (NP (-NONE- *-1)))))) (CC or) (RB not)))) ,could n't tell whether accounts receivable had been paid *-1 or not
nw/wsj/03/wsj_0359,28,"(TOP (S (NP-SBJ (NN Gold)(NNS stocks))(VP (VBP are)(RB n't)(ADJP-PRD (JJ cheap))(PP (IN on)(NP (DT this)(NN basis)))(, ,)(ADVP (RB either))(, ,)(PP (IN with)(S-NOM (NP-SBJ (JJ many))(VP (VBG selling)(PP-CLR (IN for)(NP (QP (CD 20)(NNS times))(NNS earnings)(QP (CC or)(JJR more))))))))(. .)))","Gold stocks are n't cheap on this basis , either , with many selling for 20 times earnings or more .","(VP (VBP are) (RB n't) (ADJP-PRD (JJ cheap)) (PP (IN on) (NP (DT this) (NN basis))) (, ,) (ADVP (RB either)) (, ,) (PP (IN with) (S-NOM (NP-SBJ (JJ many)) (VP (VBG selling) (PP-CLR (IN for) (NP (QP (CD 20) (NNS times)) (NNS earnings) (QP (CC or) (JJR more)))))))) ","are n't cheap on this basis , either , with many selling for 20 times earnings or more"
nw/wsj/03/wsj_0347,5,"(TOP (S (NP-SBJ (DT The)(JJ seaborne)(NNS meetings))(VP (MD wo)(RB n't)(VP (VB disrupt)(NP (NP (NNS plans))(PP (IN for)(NP (NP (DT a)(JJ formal)(NN summit))(NP-TMP (JJ next)(NN spring)(CC or)(NN summer))(, ,)(SBAR-LOC (WHPP-1 (IN at)(WHNP (WDT which)))(S (NP-SBJ-2 (DT an)(NML (NNS arms)(HYPH -)(NN control))(NN treaty))(VP (VBZ is)(ADJP-PRD (JJ likely)(S (NP-SBJ-3 (-NONE- *-2))(VP (TO to)(VP (VB be)(VP (VBN completed)(NP (-NONE- *-3))(PP-LOC (-NONE- *T*-1)))))))))))))))(. .)))","The seaborne meetings wo n't disrupt plans for a formal summit next spring or summer , at which an arms - control treaty is likely *-2 to be completed *-3 *T*-1 .","(VP (MD wo) (RB n't) (VP (VB disrupt) (NP (NP (NNS plans)) (PP (IN for) (NP (NP (DT a) (JJ formal) (NN summit)) (NP-TMP (JJ next) (NN spring) (CC or) (NN summer)) (, ,) (SBAR-LOC (WHPP-1 (IN at) (WHNP (WDT which))) (S (NP-SBJ-2 (DT an) (NML (NNS arms) (HYPH -) (NN control)) (NN treaty)) (VP (VBZ is) (ADJP-PRD (JJ likely) (S (NP-SBJ-3 (-NONE- *-2)) (VP (TO to) (VP (VB be) (VP (VBN completed) (NP (-NONE- *-3)) (PP-LOC (-NONE- *T*-1))))))))))))))) ","wo n't disrupt plans for a formal summit next spring or summer , at which an arms - control treaty is likely *-2 to be completed *-3 *T*-1"
nw/wsj/03/wsj_0326,2,"(TOP (S (S (NP-SBJ (NP (DT The)(NN campaign))(, ,)(NP (NP (DT a)(JJ patriotic)(NN celebration))(PP (IN of)(NP (NP (DT the)(JJ 200th)(NN anniversary))(PP (IN of)(NP (NP (DT the)(NNP Bill))(PP (IN of)(NP (NNPS Rights))))))))(, ,))(VP (VBZ does)(RB n't)(VP (VB mention)(NP (NNS cigarettes)(CC or)(NN smoking)))))(: ;)(S (NP-SBJ-1 (NN cigarette)(NNS ads))(VP (VBP have)(VP (VBN been)(VP (VBN prohibited)(NP (-NONE- *-1))(PP-LOC (IN on)(NP (NN television)))(PP-TMP (IN since)(NP (CD 1971)))))))(. .)))","The campaign , a patriotic celebration of the 200th anniversary of the Bill of Rights , does n't mention cigarettes or smoking ; cigarette ads have been prohibited *-1 on television since 1971 .",(VP (VBZ does) (RB n't) (VP (VB mention) (NP (NNS cigarettes) (CC or) (NN smoking)))) ,does n't mention cigarettes or smoking
nw/wsj/03/wsj_0326,28,"(TOP (SINV (`` ``)(S-TPC-1 (NP-SBJ (PRP They))(VP (VBP are)(RB n't)(VP (VBG showing)(S (NP-SBJ (NNP James)(NNP Madison))(VP (VP (VBG taking)(NP (DT a)(NN puff)))(CC or)(VP (VBG lighting)(PRT (RP up))))))))(, ,)('' '')(VP (VBZ says)(S (-NONE- *T*-1)))(NP-SBJ (NP (NNP Laurence)(NNP Tribe))(, ,)(NP (NP (DT a)(NN professor))(PP (IN of)(NP (JJ constitutional)(NN law)))(PP-LOC (IN at)(NP (NNP Harvard)(NNP University)))))(. .)))","`` They are n't showing James Madison taking a puff or lighting up , '' says *T*-1 Laurence Tribe , a professor of constitutional law at Harvard University .",(VP (VBP are) (RB n't) (VP (VBG showing) (S (NP-SBJ (NNP James) (NNP Madison)) (VP (VP (VBG taking) (NP (DT a) (NN puff))) (CC or) (VP (VBG lighting) (PRT (RP up))))))) ,are n't showing James Madison taking a puff or lighting up
nw/wsj/03/wsj_0367,39,"(TOP (S (S (NP-SBJ (NNS Accessories))(CONJP (RB not)(RB only))(VP (VBP sell)(ADVP-MNR (ADVP (RBR faster))(PP (IN than)(NP (JJ whole)(NNS bikes))))))(, ,)(S (NP-SBJ (PRP they))(ADVP (RB also))(VP (VBP offer)(NP (NP (NN profit)(NNS margins))(NP (NP (QP (RB nearly)(PDT double)(DT the)(CD 25)(NN %)(TO to)(CD 30)(NN %)(CC or)(RB so))(-NONE- *U*))(PP (IN on)(NP (NP (NNS sales))(PP (IN of)(NP (JJ complete)(NNS cycles)))))))))(. .)))","Accessories not only sell faster than whole bikes , they also offer profit margins nearly double the 25 % to 30 % or so *U* on sales of complete cycles .",NA,NA
nw/wsj/03/wsj_0335,16,"(TOP (S (`` ``)(S-TPC-1 (NP-SBJ (NP (DT Those))(SBAR (WHNP-93 (WP who))(S (NP-SBJ (-NONE- *T*-93))(VP (VBD testified)(-LRB- -LCB-)(NP-TMP (NN yesterday))(-RRB- -RCB-)))))(VP (VB have)(ADVP-MNR (RB consistently))(VP (VBN maintained)(SBAR (IN that)(S (NP-SBJ (NP (NN anyone))(SBAR (WHNP-94 (WP who))(S (NP-SBJ (-NONE- *T*-94))(VP (VBD did)(RB n't)(VP (VB agree)(PP-CLR (IN with)(NP (PRP them))))))))(VP (VBZ is)(NP-PRD (NP (NN part))(PP (IN of)(NP (NP (DT a)(NN coverup))(, ,)(NP (DT a)(NN whitewash))(, ,)(CC or)(NP (NP (DT the)(NN subject))(PP (IN of)(NP (JJ excessive)(NN influence)))))))))))))(, ,)('' '')(NP-SBJ (NNP Mr.)(NNP Bickwit))(VP (VBD said)(S (-NONE- *T*-1)))(. .)))","`` Those who *T*-93 testified -LCB- yesterday -RCB- have consistently maintained that anyone who *T*-94 did n't agree with them is part of a coverup , a whitewash , or the subject of excessive influence , '' Mr. Bickwit said *T*-1 .",NA,NA
nw/wsj/03/wsj_0335,17,(TOP (S (`` ``)(NP-SBJ (PRP We))(ADVP (RB simply))(VP (VBP do)(RB n't)(VP (VB agree)(PP-CLR (IN with)(NP (NP (DT that))(CC or)(NP (NP (DT the)(NNS findings))(PP (IN of)(NP (PRP$ their)(NN investigation))))))))(. .)('' ''))),`` We simply do n't agree with that or the findings of their investigation . '',(VP (VBP do) (RB n't) (VP (VB agree) (PP-CLR (IN with) (NP (NP (DT that)) (CC or) (NP (NP (DT the) (NNS findings)) (PP (IN of) (NP (PRP$ their) (NN investigation)))))))) ,do n't agree with that or the findings of their investigation
