filename,treeno,sentence,num_matches
bn/abc/00/abc_0004,8,"The new President of Yugoslavia , Vojislav Kostunica , has made it *EXP*-1 clear 0 he would not be likely *PRO*-2 to turn over Milosevic or anyone else to the war crimes tribunal .",1
bn/abc/00/abc_0010,11,"I wo n't tell you whether the ship is going *-1 to sink or not sink , but there was considerable damage to the ship .",1
bn/abc/00/abc_0015,8,"No , I do n't see the puck most of the time , especially when it 's really fast or at close range *T*-1 .",1
bn/abc/00/abc_0016,12,"I do n't want anyone to think 0 we ever in any instance , anywhere , ever took a risk for the purpose of a better relationship with a country and put a soldier , sailor , airman or marine at risk for that reason .",1
bn/abc/00/abc_0018,15,"If it was not part of the mooring operation , does it mean 0 it was lost *-1 in a cluster of boats or operating clear to sea ?",0
bn/abc/00/abc_0023,20,It 's not an example of a prophet without honor in his own land or even here in his own hometown .,1
bn/abc/00/abc_0026,14,"Yesterday , the American ambassador and a senior FBI official met with President Ally Saleh *PRO*-1 to complain that Yemeni investigators were not sharing leads or information .",1
bn/abc/00/abc_0041,21,We do n't know whether or not she will be counted *-1 in time for them to count in the Electoral College .,1
bn/abc/00/abc_0047,16,"*PRO* Agreeing on those new words will not be easy , in a country that *T*-1 often can not escape *RNR*-3 or does not want *PRO*-2 to escape *RNR*-3 its Soviet past .",1
bn/abc/00/abc_0056,30,"The rail carrier is adding 16,000 seats in the Northeast alone , many for passengers who *T*-1 decided *PRO*-2 not to take a chance on the weather or the airlines .",1
bn/cnn/00/cnn_0041,8,America will not stop *-1 standing guard for peace or freedom or stability in the Middle East and around the world .,2
bn/cnn/00/cnn_0055,3,He did not say when the time - out would begin *T*-1 or how long it would last *T*-2 .,1
bn/cnn/00/cnn_0068,7,It *EXP*-1 is not yet clear whether the new information will help or hurt the case against the two Libyans accused * of *PRO*-2 blowing up the airplane .,1
bn/cnn/00/cnn_0076,11,The official says 0 investigators do not have `` specific '' or `` reliable '' evidence 0 Bin Laden financed the attack or sent an agent *PRO*-1 to oversee it .,2
bn/cnn/01/cnn_0147,3,"*PRO* Look outside right now and you might not believe it , but snow or no , around the globe the year 2000 is one of the warmest on record .",0
bn/cnn/01/cnn_0158,5,I do n't think 0 it 's a safe or healthy quality of air .,1
bn/cnn/02/cnn_0260,10,"All of this now under review , whether or not Geraldo stays or goes .",1
bn/cnn/02/cnn_0267,3,"That it *EXP*-1 is very difficult *T* to discern whether or not that is , in point of fact , the missiles that we have become accustomed to *T*-2 striking Baghdad and its environs , or whether it is the large 2,000 pound JDAM bombs that *T*-3 have been striking targets selected * by the coalition in Baghdad , or whether these flashes now represent artillery barrages as fighting continues *PRO* to take control of the -- *PRO* to take control of Saddam International Airport .",0
bn/cnn/02/cnn_0284,38,The focus is clearly not on their treatment or their capture but their freedom .,1
